Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
29,0.915,0.35,0.48605,86.631,97.4835,1.00E-08
30,0.785,0.233,0.46934,87.0924,97.5359,1.00E-08
29,0.787,0.221,0.4901,86.3899,97.1794,1.00E-08
30,0.82,0.273,0.47154,86.8932,97.5883,1.00E-08
31,0.805,0.256,0.48575,86.4108,97.2423,1.00E-08
29,0.817,0.461,0.49514,86.1382,97.2528,1.00E-08
30,0.888,0.544,0.47378,86.6939,97.3786,1.00E-08
31,0.85,0.512,0.48131,86.652,97.2213,1.00E-08
32,0.829,0.482,0.49104,86.3374,97.4101,1.00E-08
33,0.828,0.487,0.5006,85.939,97.2947,1.00E-08
34,0.846,0.511,0.4915,86.4528,97.2318,1.00E-08
35,0.828,0.484,0.5058,85.6244,97.3052,1.00E-08
36,0.863,0.524,0.47276,86.652,97.7142,1.00E-08
37,0.815,0.482,0.47747,86.61,97.4625,1.00E-08
38,0.808,0.471,0.47387,87.0085,97.452,1.00E-08
39,0.816,0.478,0.49717,86.2221,97.3891,1.00E-08
40,0.873,0.536,0.48111,86.7149,97.3052,1.00E-08
41,0.815,0.475,0.48587,86.4842,97.3577,1.00E-08
42,0.824,0.488,0.48671,86.4213,97.3472,1.00E-08
43,0.848,0.509,0.49558,85.9704,97.3577,1.00E-08
44,0.787,0.449,0.48582,86.9875,97.3996,1.00E-08
45,0.78,0.436,0.49117,86.2326,97.2213,1.00E-08
46,0.802,0.456,0.49234,86.673,97.085,1.00E-08
47,0.815,0.478,0.47664,86.7883,97.4625,1.00E-08
48,0.854,0.518,0.48653,86.631,97.4415,1.00E-08
49,0.852,0.514,0.49444,85.7083,97.494,1.00E-08
50,0.847,0.502,0.48356,86.5681,97.4835,1.00E-08
51,0.847,0.508,0.48341,86.7149,97.3996,1.00E-08
52,0.856,0.519,0.49062,86.1801,97.3052,1.00E-08
53,0.828,0.489,0.48461,86.4842,97.4101,1.00E-08
54,0.822,0.483,0.49692,86.5052,97.127,1.00E-08
55,0.776,0.439,0.49318,86.3584,97.3472,1.00E-08
56,0.8,0.464,0.49054,86.264,97.2633,1.00E-08
57,0.876,0.536,0.50086,85.8236,97.3472,1.00E-08
58,0.836,0.495,0.48389,86.6939,97.3052,1.00E-08
59,0.87,0.535,0.48151,86.8722,97.6617,1.00E-08
60,0.841,0.504,0.47321,87.2811,97.494,1.00E-08
61,0.862,0.524,0.49765,86.1277,97.2738,1.00E-08
62,0.815,0.473,0.49906,85.9075,96.9697,1.00E-08
63,0.823,0.481,0.50449,85.8236,97.1165,1.00E-08
64,0.812,0.466,0.47914,86.6834,97.473,1.00E-08
65,0.782,0.44,0.48148,86.6625,97.2528,1.00E-08
66,0.804,0.467,0.50117,86.3689,97.2633,1.00E-08
67,0.849,0.506,0.47649,86.9036,97.4415,1.00E-08
68,0.829,0.49,0.47683,86.7568,97.4206,1.00E-08
69,0.838,0.501,0.49543,86.2431,97.2633,1.00E-08
70,0.822,0.481,0.47555,86.9036,97.5254,1.00E-08
71,0.845,0.503,0.48851,86.2535,97.3052,1.00E-08
29,1.047,0.477,1.02295,71.3117,92.3771,1.00E-08
30,1.054,0.5,0.99659,71.469,92.8174,1.00E-08
31,1.02,0.466,0.99432,71.8465,92.8908,1.00E-08
32,1.052,0.499,0.98823,71.9828,92.8384,1.00E-08
33,1.023,0.468,0.99295,71.3851,93.2369,1.00E-08
34,1.022,0.467,0.99595,71.8046,92.4924,1.00E-08
35,1.022,0.472,0.99401,71.0496,92.9328,1.00E-08
36,1.046,0.495,1.01798,70.4519,92.3875,1.00E-08
37,1.022,0.467,1.00621,71.6368,92.4505,1.00E-08
38,1.022,0.466,1.00625,71.144,92.7755,1.00E-08
39,0.989,0.439,0.99162,71.9094,92.786,1.00E-08
40,1.034,0.484,0.99431,71.6473,92.7336,1.00E-08
41,1.02,0.466,0.99596,71.9304,92.6602,1.00E-08
42,1.036,0.487,0.99651,71.49,92.5658,1.00E-08
43,1.039,0.488,1.01694,71.0915,92.5658,1.00E-08
44,1.014,0.464,0.98373,72.5176,92.5763,1.00E-08
45,1.051,0.497,0.99806,71.4061,92.5343,1.00E-08
46,1.035,0.486,0.99332,72.1191,92.3771,1.00E-08
47,1.017,0.468,0.97476,72.0772,92.8908,1.00E-08
48,1.061,0.513,1.00316,71.7416,92.8384,1.00E-08
49,1.04,0.482,1.00417,70.8504,93.0272,1.00E-08
50,1.026,0.471,0.99657,71.7102,92.9013,1.00E-08
51,1.014,0.468,0.9861,71.5319,92.5239,1.00E-08
52,1.051,0.491,0.99307,71.7312,93.0062,1.00E-08
53,1.026,0.475,0.97159,71.6787,93.0272,1.00E-08
54,0.996,0.443,1.02402,70.9238,92.073,1.00E-08
55,1.051,0.5,1.00609,71.49,92.9328,1.00E-08
56,1.025,0.467,0.98528,71.8255,93.0062,1.00E-08
57,1.022,0.468,0.99883,71.3956,92.786,1.00E-08
58,1.046,0.499,1.00098,71.4795,92.8594,1.00E-08
59,1.013,0.461,0.99755,71.8046,92.7126,1.00E-08
60,1.001,0.446,1.01548,71.0496,92.4924,1.00E-08
61,1.029,0.478,1.01307,71.5948,92.6287,1.00E-08
62,1.044,0.5,0.98875,71.8779,92.8594,1.00E-08
63,1.028,0.472,1.00646,71.2069,92.6077,1.00E-08
64,1.019,0.459,1.00899,70.8818,92.5029,1.00E-08
65,1.039,0.486,1.00071,71.5424,92.5658,1.00E-08
66,1.051,0.5,1.00231,71.5948,92.419,1.00E-08
67,1.043,0.492,0.99701,71.836,92.786,1.00E-08
68,1.031,0.477,1.00603,71.4166,92.7126,1.00E-08
69,1.049,0.507,1.01425,71.0706,92.8384,1.00E-08
70,1.052,0.491,1.01349,71.3432,92.4609,1.00E-08
29,0.446,0.152,0.54083,84.9533,96.9907,1.00E-08
30,0.41,0.115,0.55123,84.7017,96.8334,1.00E-08
31,0.433,0.14,0.5356,84.9533,97.1689,1.00E-08
32,0.413,0.121,0.53595,85.2364,96.9487,1.00E-08
33,0.42,0.124,0.52042,85.7817,97.2109,1.00E-08
34,0.409,0.117,0.55348,84.5234,96.781,1.00E-08
35,0.418,0.125,0.54776,85.1316,96.718,1.00E-08
36,0.417,0.121,0.53498,84.6283,97.3262,1.00E-08
37,0.412,0.119,0.54401,85.3623,96.8334,1.00E-08
38,0.417,0.125,0.54813,85.0687,96.8439,1.00E-08
39,0.422,0.13,0.53896,84.9324,97.1689,1.00E-08
40,0.409,0.118,0.5416,85.1945,96.7914,1.00E-08
