Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,,testing,,Epoch,Batch Time,Loss,Prec@1,Prec@5
31,0.796,0.012,0.11969,98.3118,99.9266,5.00E-09,,,,0,0.091,3.209709883,81.02,95.823
32,0.792,0.015,0.11869,98.5425,99.9581,5.00E-09,,,,31,0.091,3.601039886,80.069,95.638
0,0.805,0.018,3.87472,21.8622,41.8371,0.0001,,,,32,0.09,3.662100077,78.007,94.74
1,0.793,0.012,2.18533,61.0884,85.0372,0.0001,,,,0,0.09,4.286139965,40.841,65.636
2,0.792,0.012,1.35602,77.1626,94.2435,0.0001,,,,1,0.09,3.12026,59.318,82.474
3,0.792,0.011,0.96611,83.9572,96.739,0.0001,,,,2,0.089,3.207710028,64.155,87.259
4,0.792,0.011,0.79313,87.4384,97.9029,1.00E-05,,,,3,0.09,3.130970001,66.085,88.739
5,0.793,0.012,0.76817,87.9102,98.1231,1.00E-05,,,,4,0.089,2.556879997,70.711,90.96
6,0.794,0.013,0.75192,88.099,98.1965,1.00E-05,,,,5,0.09,2.790070057,69.918,90.933
7,0.794,0.013,0.73448,89.0007,98.0182,1.00E-06,,,,6,0.09,2.95442009,68.094,89.585
8,0.792,0.011,0.73116,88.6128,98.4062,1.00E-06,,,,7,0.09,2.897160053,68.94,89.955
9,0.792,0.011,0.7289,88.3506,98.1965,1.00E-07,,,,8,0.09,3.111340046,66.059,88.977
10,0.793,0.012,0.73763,88.4555,98.1755,1.00E-07,,,,9,0.09,3.172230005,67.037,89.453
11,0.793,0.012,0.72931,88.8435,98.1231,1.00E-08,,,,10,0.09,2.841660023,67.988,90.51
12,0.791,0.011,0.73501,88.3716,98.2175,1.00E-08,,,,11,0.09,2.938649893,67.618,90.325
13,0.792,0.012,0.7318,88.2668,98.3118,1.00E-08,,,,12,0.09,2.893749952,67.407,90.087
14,0.791,0.011,0.7314,88.6128,98.0812,1.00E-08,,,,13,0.09,3.118259907,67.248,88.58
15,0.791,0.011,0.73093,88.6652,98.1231,1.00E-08,,,,14,0.09,2.945709944,67.354,90.404
0,0.797,0.011,3.08765,38.3768,59.914,0.0002,,,,15,0.09,3.063290119,67.433,90.008
1,0.792,0.012,1.19612,77.991,94.1176,0.0002,,,,0,0.09,3.439290047,57.547,81.126
2,0.791,0.011,0.68581,87.6586,98.0707,0.0002,,,,1,0.09,2.991620064,68.543,89.03
3,0.792,0.012,0.4604,92.3037,99.1507,0.0002,,,,2,0.09,2.774539948,72.403,92.44
4,0.792,0.012,0.34386,94.1806,99.4443,0.0002,,,,3,0.09,2.77937007,74.068,93.524
5,0.792,0.012,0.27445,95.9211,99.6854,2.00E-05,,,,4,0.09,2.974829912,74.888,93.18
6,0.791,0.011,0.26111,96.2672,99.7169,2.00E-05,,,,5,0.09,3.091209888,73.725,93.127
7,0.79,0.011,0.25881,96.2043,99.7693,2.00E-06,,,,6,0.09,3.364120007,72.218,92.202
8,0.791,0.011,0.25435,96.5608,99.8217,2.00E-06,,,,7,0.09,3.008249998,73.645,92.969
9,0.791,0.012,0.25752,96.3301,99.7483,2.00E-07,,,,8,0.09,3.248960018,73.143,91.805
10,0.79,0.011,0.25768,96.5083,99.6854,2.00E-07,,,,9,0.09,3.16053009,74.015,92.651
11,0.79,0.011,0.25397,96.5188,99.7379,2.00E-08,,,,10,0.09,3.486690044,72.905,91.515
12,0.79,0.011,0.2589,96.4664,99.7379,2.00E-08,,,,11,0.09,3.258650064,73.857,91.964
13,0.792,0.012,0.25514,96.4769,99.7693,2.00E-09,,,,12,0.09,3.04689002,75.046,92.836
14,0.79,0.011,0.25472,96.4664,99.8217,2.00E-09,,,,13,0.09,3.167510033,73.989,91.726
15,0.791,0.011,0.25786,96.393,99.7588,2.00E-09,,,,14,0.09,3.087229967,73.751,93.101
,,,,,,,,,,15,0.09,3.503180027,71.372,91.594
